10,12,12,12,2,2,2,10,10,12,12,12,11,11,11,11
12,12,12,12,2,2,2,2,12,12,12,12,11,11,11,11
12,12,12,12,2,2,2,2,12,12,12,12,11,11,11,11
12,12,12,10,10,2,2,2,12,12,12,10,11,11,11,11
1,1,1,1,1,1,1,1,2,2,2,2,11,11,11,11
1,1,1,1,1,1,1,1,2,2,2,2,11,11,11,11
1,1,1,1,1,1,1,1,2,2,2,2,11,11,11,11
1,1,1,1,1,1,1,1,2,2,10,2,11,11,11,11
12,12,12,12,2,2,2,2,12,12,10,12,11,11,11,11
12,12,12,10,10,2,2,2,12,12,12,12,11,11,11,11
12,12,12,12,2,2,2,2,12,12,12,12,11,11,11,11
10,12,12,12,2,2,2,10,12,12,12,12,11,11,11,11
